Order,ID,Title,Bucket,Description,Why,Strategy fit,Priority,Status,Effort,Phase,Dependencies,Notes,Date Added
,SL-002,Pre-search UI — shop logo strip + 'we'll source N items',Shopping List,Animated 'searching' state with logos lighting up sequentially. Static pre-search shows the shop strip + transparent count.,Builds trust in the free-tier result quality (you can see where we look).,Both,P2,Idea,M,1,SL-001,,2026-06-16
,SL-003,Source-photo crop alongside each item,Shopping List,For each identified item show the cropped region from the source photo: 'we're searching for THIS chair'.,Bridges concept → product. Improves perceived match quality on free tier.,Both,P2,Idea,M,2,,,2026-06-16
,SL-004,Better empty/error states,Shopping List,"Polished states for: no items found, Serper error, image upload fail, country not enabled.",Free tier polish.,Both,P1,Idea,S,2,,,2026-06-16
,SL-005,Visual matching — image embeddings re-rank (paid),Shopping List,Crop each item; embed crop + result thumbnails (Gemini multimodal or CLIP); re-rank by cosine similarity. Return top 3 visually-matched per item. Paid tiers only.,Visible quality gap drives Free → Paid upgrade.,Option 2,P2,Idea,XL,4,I-005,,2026-06-16
,SL-006,Budget filter — pre-search range + post-search slider (paid),Shopping List,Paid tier: pre-search range input passed to Gemini + Serper. Post-search slider for live narrowing.,Paid-tier feature already messaged in pricing.,Option 2,P2,Idea,M,4,I-005,,2026-06-16
,SL-007,Region routing — full launch across remaining markets (EU + Armenia),Shopping List,"REFOCUSED 2026-05-04. After Canada launches via SL-008, this item covers the remaining markets: EU and Armenia. EU is medium complexity (multiple sub-regions, some retailers operate continent-wide, currency = EUR). Armenia is harder (different language, fewer retailers, different shipping infrastructure — owner's home market but the LAST one to launch precisely because complexity is highest).","Completes the four-region coverage envisioned in the shopping-list-strategy memory. By the time this ships, the SL-001 + SL-008 pattern will be proven, so EU + AM are pattern-application not pattern-invention.",Both,P2,Idea,L,5,"SL-001, SL-008","Order: US (live) → Canada (SL-008) → EU (this) → Armenia (this). Armenia last despite being owner's home — pragmatic order, easiest first.",2026-06-16
,SL-008,Shopping List — extend to Canada,Shopping List,"Make Canada live as the second supported country. STEPS: (1) Audit current Shopping List code — find every hardcoded 'US' / 'gl=us' / country reference. (2) Add Canada-relevant retailers to retailers.json (~10 shops: Article, Structube, EQ3, Crate & Barrel CA, West Elm CA, IKEA CA, The Bay, Wayfair CA, Amazon.ca, Home Depot CA — owner refines final list). (3) Enable Canada in the country-selector UI on /ai-concepts and Shopping List flow. (4) Wire gl=ca into Serper search when Canada is selected. (5) Verify Gemini extraction prompt is country-agnostic (it should already be — items-in-a-photo is geography-free). (6) Currency: Serper returns prices in local currency automatically — verify CAD displays correctly. (7) Test cases: Desenio posters, generic living room, multi-category extraction. (8) Update tier framing on home-page AI section to note Canada is live. (9) Add regression test row.","Canada is the easiest second market: same language, US retailer overlap (Wayfair, IKEA, Amazon all operate in CA with localized sites), no localization needed. Doubles Free-tier reach for ~10% of effort vs harder markets.",Both,P1,Idea,M,1,SL-001,"Order rationale (owner 2026-05-04): Canada before EU/Armenia because easiest. Build muscle on the SL-001 pattern, then tackle harder markets via SL-007. Path A (SL-001 first) recommended — clean foundation, every future region drops into the same DB.",2026-06-16
,S-001,Home hero leads with portfolio + designer story (folded into S-013),Strategy,FOLDED 2026-04-30 into S-013 umbrella. The hero is now Bands A+B of the new narrative: text band on top + full-width 80vh image band with hover-to-expand renders. See S-013 row.,Option 3 has to be unambiguous. A visitor in 5 seconds should know they can hire a designer here.,Option 3,P0,Folded → S-013,M,1,S-013,Tracked under S-013.,2026-06-16
,S-003,Add visible secondary 'Try AI free' CTA in header,Strategy,"Header shows 'Let's chat' (primary) + 'Try AI free' (secondary, less weight). Logged-in state shows account chip + go-to-Studio link.",Solves open customer feedback (sign-up too hidden) without overpowering the designer-led primary CTA.,Both,P0,Done (in production),S,1,A-001 (auth lift),"First Done 2026-04-28 → reverted in Phase 1A v3 fallout → re-shipped 2026-05-04 with A-001 as Phase 1A bisect step 3. Secondary CTA: text + chevron, cobalt on light / white on dark hero, hidden on /ai-concepts when logged-out. Logged-in: 28×28 avatar chip + Go to Studio link + sign-out dropdown. Closes F-001.",2026-05-04
,S-005,Home page — AI Studio teaser section (folded into S-013),Strategy,FOLDED 2026-04-30 into S-013 umbrella. Now Section 4 of the new narrative: dynamic tiles with crossfade + Ken Burns + cycling through 3-4 before/after rooms per tile. Right side: copy + tool list + Try AI free CTA. See S-013 row.,"Keeps AI Studio first-class even under Option 3 — and makes the swap to Option 2 a re-ordering, not a build.",Both,P1,Folded → S-013,M,1,S-013,Tracked under S-013.,2026-06-16
7,S-007,"SEO content layer — Phase 1 (titles, meta, dual JSON-LD, sitemap, robots)",Strategy,"PLANNING DONE 2026-05-08. Spec at E:\Business\Claude\WEBSITE-PLAN-S007-SEO-spec.md. Strategy: dual-track — Yerevan local for studio service + US/global for AI product, both schemas via @graph. Scope: (1) per-route <title> + <meta> for 10 routes (studio voice, ≤60/≤160 chars, Yerevan never in titles); (2) dual JSON-LD: Organization (global) + InteriorDesignBusiness (Yerevan local) with parentOrganization cross-link, real data plugged in (phone +13474801265, founder Anahit Ghasabyan, IG + FB sameAs, $$ price range); (3) OG/Twitter cards per page via React 19 native head hoisting (no new deps); (4) canonical URLs per page; (5) public/sitemap.xml + scripts/build-sitemap.ts (build-time append for /portfolio/:id); (6) public/robots.txt. Folds P-001 (mechanical SEO — covered by sitemap+robots in this PR). Pairs with I-007 (analytics) and S-014 (deliverables OG image).","Option 3 organic-search foundation + AI-product global-search foundation. Without this, all 10 routes share the home-page meta (wrong) and Google has no entity signal for the studio.",Both,P1,Done (in production),M,1,S-013,"Refined 2026-05-08 to dual-track strategy (was Yerevan-only). Master roadmap at E:\Business\Claude\WEBSITE-PLAN-SEO-roadmap.md. Phase 2 split into S-018 (schema expansion), S-019 (server-side meta), S-020 (dynamic OG). Phase 3: S-021 (i18n), S-022 (Reviews schema). Off-site: S-023 (GBP), S-024 (backlinks/content/social).",2026-07-05
,S-010,Rename 'AI Concepts' nav to 'AI Studio',Strategy,Re-shipped 2026-05-04 as Phase 1A bisect step. The original spec assumed an existing dropdown — it didn't exist (current nav is a plain link with pulsing dot). Owner agreed: rename only; real dropdown menu deferred to S-015.,"Reduced redundancy with 'Try AI free' CTA: the rename reframes the nav as a discovery surface, the CTA as an action.",Option 3,P1,Done (in production),S,1,,First Done on 2026-05-01 (claude/ecstatic-shirley-46fd06) → reverted in Phase 1A v3 fallout → re-shipped solo on 2026-05-04 after port fix landed. Real dropdown menu still deferred to S-015.,2026-05-04
,S-011,[Dropped] Add 'Sign in' link in header for returning users,Strategy,"DROPPED 2026-04-30. Original idea: small text 'Sign in' link in header for returning users. Reason for dropping: Google OAuth flow auto-detects returning users when they click 'Try AI free →' — the popup recognizes the existing account and signs them in instantly. A separate 'Sign in' element broke header visual rhythm (the other two CTAs end with arrows; Sign in didn't), added clutter, and solved a problem that Google OAuth already solves. Modern SaaS convention (Linear, Notion, Vercel) confirms: one CTA cluster, no separate Sign in.",Visual rhythm + redundancy with Google OAuth's auto-detection of returning users.,Option 3,P1,Dropped,S,1,A-001,Dropped 2026-04-30 during home-page mockup review (S-013).,2026-06-16
,A-001,Lift auth into a global AuthContext,Architecture,Move user/session state out of AIConceptsPage into a global context. Probe /api/auth/me on mount. Persist token in sessionStorage via existing sessionClient.,Header CTA needs to know logged-in state. Today auth is local to one page.,Foundation,P0,Done (in production),M,1,,"First Done 2026-04-28 → reverted in Phase 1A v3 fallout → re-shipped 2026-05-04 as Phase 1A bisect step 3 (paired with S-003). New src/AuthContext.tsx with AuthProvider + useAuth(). AIConceptsPage refactored (~225 lines removed). All tests pass after wrapping Header.test.tsx, AIConceptsPage.test.tsx, RegressionLinks.test.tsx in AuthProvider.",2026-05-04
,A-004,Track AI Studio engagement metrics,Architecture,"Capture sign-ups, generations per visitor, AI-user → consultation conversion. Lightweight (server logs + simple dashboard or Plausible/Umami events).",Trigger criteria for Option 2 swap need data.,Foundation,P1,Done (in production),M,2,,"SHIPPED 2026-05-29 in one combined PR with A-005 + I-023 (PR #30, squash b62b779). Implemented as 8 ai_* GA4 events fired via trackEvent() helper in src/lib/analytics.ts: ai_quiz_started/completed, ai_vision_started/completed, ai_shopping_started/completed, ai_audit_started/completed. Started events live in src/lib/track.ts alongside the POST; completed events are client-side in component success handlers (AIConceptsPage handleGenerate/handleShoppingSearch, RoomAudit). Plus quota_burned {tool} (covered under I-023). Events fire ALONGSIDE existing internal /api/track/* activityLog (untouched). Same env-gate as I-007/I-022 → silent on localhost.",2026-05-29
,A-005,Track Calendly / Let's-chat conversion,Architecture,Funnel: visit → portfolio view → contact click → consultation booked. Simple events.,Quantifies the Option 3 hypothesis. Without it the swap criteria are guesses.,Foundation,P1,Done (in production),S,2,A-004,"SHIPPED 2026-05-29 in same combined PR with A-004 + I-023 (PR #30, squash b62b779). calendly_open {source} GA4 event wired at all 7 CTA call sites via trackEvent() helper. Source slugs vary per surface (header_cta, closing_band, pricing_cta, etc.) so funnel attribution shows which CTA actually drives bookings.",2026-05-29
,I-001,Switch canonical domain to www.designature.studio (keep app.* live),Infra/CMS,"Done 2026-04-28: www.designature.studio is the canonical/primary. Apex designature.studio → 301 → www (path preserved). app.designature.studio stays live as a parallel surface. Public pages on both hosts emit a JS-set <link rel='canonical'> pointing at www.*. All curl checks pass: apex 301 with path preservation, www 200 from railway-edge, app 200 from railway-edge.",'app' reads as SaaS — pulls in Option 2 direction. 'www' reads as a design firm and reinforces Option 3 today. Keeping app.* live preserves the future swap path.,Option 3,P0,Done,M,2,,"Code (server.ts middleware, SiteCanonical, index.html), DNS for www (CNAME + TXT), OAuth, Sanity CORS, hosting.com Redirect rule, /public_html WordPress removal (ticket IIG-028-43642) — all complete. Two minor SEO follow-ups split out as P-006.",2026-04-28
,I-006,Env path fallback — read .env from E:/Secrets/Website when project-root absent,Infra/CMS,server.ts and vite.config.ts fall back to E:/Secrets/Website/.env when project-root .env doesn't exist. Solves the gdrive-sync risk (owner keeps secrets outside Business/ folder). On Railway/Linux: both candidate paths absent → standard cwd/.env fallback → no behavior change.,Eliminates the .env copy-paste-delete dance during local dev. Critical for keeping secrets out of gdrive sync.,Foundation,P0,Done (in production),S,1,,"First Done 2026-04-30 → reverted in Phase 1A v3 fallout (the unrelated PORT change in that session was the actual deploy bug) → re-shipped 2026-05-04 as Phase 1A bisect step 6 (PR #16, commit cc2de90) WITHOUT the PORT regression. Phase 1A complete.",2026-05-04
,I-008,Payment provider for Armenia — research & decision (owner-driven),Infra/CMS,"Owner-driven research ticket. Stripe does not accept Armenia-based merchants. Pick alternative: (A) Lemon Squeezy — merchant of record, supports Armenia, ~5%+$0.50/txn, instant onboarding; (B) Paddle — same MoR model, slower onboarding; (C) Stripe Atlas — register US LLC ($500 setup + ongoing), then use Stripe directly; (D) PayPal — limited subscription support. Decision blocks I-004 scope (API + webhook code differs by provider).","Without a provider decision, I-004 (payment integration) cannot be concretely scoped. Owner researching options 2026-05-09 onwards.",Both,P0,Done (architecture locked),S,4,,"RESEARCH + DECISION COMPLETE 2026-05-30. Two-rail architecture locked: Rail A = Lemon Squeezy subscriptions (Design $19/mo or $190/yr · Studio $49/mo or $490/yr); Rail B = Ameriabank VPOS $99 one-time consultation. LS account fully set up (store 391553, 4 variants published, webhook + API key + bank connected, 2FA on, identity in review). VPOS live creds + bank materials emailed for sandbox+PDF (awaiting reply). Build sequence: B0 foundation → Rail A (ships first, revenue unlock) → Rail B shell. Full handoff including 3 implementation prompts at _Memory/2026-05-30-payments-architecture-locked.md. Implementation tracked under new tickets I-024 (B0 foundation) + I-004 (Rail A) + I-025 (Rail B shell).",2026-05-30
,I-005,Plan gating — Design vs Studio quota differentiation [FOLDED INTO I-004],Infra/CMS,"Plan field on user (free/design/studio), per-tier quotas, server-side enforcement, on-read reset from subscription.current_period_start.",Required for the tiered Free/Design/Studio matrix to actually mean something.,Both,P0,Dropped - will re-plan under I-030,L,4,I-004,"FOLDED 2026-05-30 into I-004 (Rail A). Tightly coupled with the Lemon Squeezy webhook — splitting them produced unnecessary back-and-forth between sessions. The A1 prompt in _Memory/2026-05-30-payments-architecture-locked.md covers both checkout/webhook AND plan gating + quota reset in one slice.

[2026-07-12] DROPPED 2026-07-12: parent I-004 (LS) is obsolete; plan gating will be re-designed under I-030 (Ameria recurring subscriptions).",2026-05-30
,I-009,Shopping guardrails — SHOPPING_DISABLED flag + SERPER_DAILY_BUDGET cap + serperLog,Infra/CMS,"Server-side safety net for /api/shopping/search to prevent runaway Serper spend (May 4 incident: ~875 credits / ~218 lists in one day from unknown source). Adds three pieces: (1) SHOPPING_DISABLED env flag → endpoint returns 503 {code:'disabled'} when true; (2) SERPER_DAILY_BUDGET env var (default 200) → in-memory + db.json counter, rolling UTC day, returns 503 {code:'daily_budget_exceeded'} when crossed; (3) serperLog array in db.json appending {ts, userEmail, query, count, source} for every Serper call so future bursts are observable. Also fixes ShoppingAndScoring.test.ts to require LIVE_SERPER_TEST=1 to hit live Serper (otherwise mock).",May 4 burned ~875 Serper credits with no upper bound and no telemetry. Per-user quotas (shoppingListsLeft) prevent fairness abuse but don't cap global cost exposure. Guardrails make repeat impossible without code change — just env var tuning as you grow.,Both,P0,Done (in production),S,1,,"Phase A of observability initiative SHIPPED 2026-05-15. 5 clean commits on claude/amazing-curie-1f6ad1: 12874d9 (guardrails), 4eab4c4 (test fix + hardcoded key removal), 875fc26 (status endpoint), 1c833da (offline card), 27a6f6c (tile offline pill). Railway env vars set: SHOPPING_DISABLED=true (kill switch ON), SERPER_DAILY_BUDGET=200. Production verified: /ai-concepts#shopping shows graceful offline card.",2026-05-15
,I-010,Self-instrumented API call counters (all upstream providers),Infra/CMS,"Wrap every upstream API call (Gemini, Replicate, Cloudinary, Serper, EmailJS, IPApi, Google Sheets, Sanity) with a counter that writes to db.json.apiCounters[provider].{daily, weekly, monthly}. Counters tagged by provider, UTC rolling windows. Foundation for I-011.",Without self-instrumentation we depend on each provider's own dashboard to see usage — exactly what failed for May 4. Counters cost nothing per call and give us source-of-truth visibility.,Both,P1,Done (in production),S,1,I-009,"Phase B SHIPPED 2026-05-18. Counters live in db.apiCounters[provider].{daily, weekly, monthly} with UTC rolling windows.",2026-05-18
,I-011,Admin usage JSON endpoint /api/admin/usage,Infra/CMS,"GET /api/admin/usage — owner-email allowlist (anahit@designature.studio). Returns JSON: per-provider call counts (from I-010), known balance/limits (manual config + auto-fetch where API exists: Cloudinary, Google Cloud), user stats (total, signups last 7d, logins last 24h, paid vs free), recent serperLog tail (from I-009), platform inventory + renewal dates (from I-012). NO UI yet — JSON only. Owner curls it or opens in browser.",Lightweight visibility without dashboard build. 4-6 hours of work vs 1-2 weeks for full UI. Decide on dashboard UI after using JSON for 2+ weeks.,Both,P1,Done (in production),M,1,"I-009, I-010, I-012","Phase B SHIPPED 2026-05-18. Endpoint live, feeds the /admin UI poll every 30s. NOTE: I-018 (Phase C) hardens auth + audits other /api/admin/* endpoints that may have been left unguarded.",2026-05-18
,I-012,Platform inventory config (structured source of truth for 11 services),Infra/CMS,"server/config/platforms.json — structured inventory: Railway, Hosting.com, Google Cloud (Gemini), Serper.dev, Cloudinary, Sanity.io, EmailJS, Google Sheets, Google OAuth, IPApi.co, GitHub. Each entry: name, owner_email, monthly_cost, free_tier_quota, renewal_date if applicable, powers, criticality (1-5). Read by I-011 admin endpoint.","Captures 'who owns what' and 'when does it renew' as code. Critical risk-reduction: 3 platforms currently '(check)' for ownership email (Railway, Sanity.io, EmailJS) — surface those for cleanup.",Both,P1,Done (in production),S,1,,Phase B SHIPPED 2026-05-18. server/config/platforms.json with all 11 services; cards render in /admin Platforms section.,2026-05-18
,I-014,Rotate Serper API key (post-I-009 merge),Infra/CMS,"After Phase A I-009 PR merges: issue new Serper API key on serper.dev dashboard, revoke the old key (1c2017c137c2ddd471cbe86cd0badc785828e612). Update Railway env var SERPER_API_KEY to new value. Update E:\Secrets\Website\.env to new value. Verify shopping works with new key on localhost before pushing env update to Railway.",Root cause of 2026-05-04 burn was the OLD key being hardcoded in src/test/ShoppingAndScoring.test.ts line 62 — meaning it sits in git history forever. Phase A removes it from current code but cannot remove from history. Rotating the key on serper.dev's side makes the leaked-in-history key useless. Required regardless of whether git history is rewritten.,Both,P0,Done,XS,1,I-009,"Rotated 2026-05-15: new key issued on serper.dev, Railway env var SERPER_API_KEY updated, local E:/Secrets/Website/.env updated, old key (1c2017c137c2ddd471cbe86cd0badc785828e612) revoked via 'Reset' action on serper.dev Default key row. Leaked-in-history value is now harmless trivia.",2026-05-15
,I-016,User activity log — append-only audit of meaningful user actions,Infra/CMS,"Append-only log in db.json at db.activityLog[]: {ts, userEmail, action}. Tracked actions: login, signup, quiz_started, quiz_complete, vision_started, generate_vision, shopping_started, generate_shopping, audit_started, generate_audit, feedback_submit, calendly_click (anonymous allowed). NO action payload stored (GDPR-friendly + light). Capped at 5000 entries (oldest dropped when over). Wire instrumentation into each endpoint that produces one of these actions.","Owner needs visibility into 'who logged in, when, what did they do' — was an explicit ask during 2026-05-15 observability discussion. Pairs with I-010 (API counters) and I-011 (admin endpoint) as the user-side of the dashboard data.",Both,P1,Done (in production),S,1,I-009,"Phase B SHIPPED 2026-05-18. 12 action types instrumented including start+complete pairs for all 4 AI tools. Anonymous calendly_click captured via userEmail='anonymous' sentinel value. Tracker endpoints: /api/track/quiz-start, /api/track/quiz-complete, /api/track/vision-start, /api/track/shopping-start, /api/track/audit-start, /api/track/calendly.",2026-05-18
,I-017,Admin dashboard UI at /admin (owner-only),Infra/CMS,"Simple page at /admin polling /api/admin/usage every 30s. Email-allowlisted (anahit@designature.studio only — anyone else redirected to home). Sections: (1) API credit balances with red/amber/green status based on % of quota — Serper, Gemini, Replicate, Cloudinary, etc.; (2) Recent user activity table — last 50 events from I-016, newest first; (3) Platform inventory cards from I-012 — name, monthly cost, renewal countdown, ownership; (4) Shopping incident view — last 100 serperLog entries from I-009. Plain tables/cards. NO charts. Functional, not designed-for-beauty.","'See everything at a glance' surface owner asked for during 2026-05-15 observability discussion. Built once, useful indefinitely. Future polish (charts, real-time alerts, historical export) is Phase D-level work — defer until owner has used the simple version for 2+ weeks.",Both,P1,Done (in production),M,1,"I-010, I-011, I-012, I-016",Phase B SHIPPED 2026-05-18. v1 of /admin live. Owner feedback 2026-05-18: too thin to investigate; needs structure → Phase C (I-019/I-020/I-021) rebuilds it with auth + users page + KPI sections.,2026-05-18
,I-018,Audit all /api/admin/* endpoints for consistent auth,Infra/CMS,Sweep server.ts for every /api/admin/* route. Confirm each has the same requireAdmin middleware (or equivalent gate). Phase B discovered two pre-existing unauthenticated admin endpoints (POST /api/admin/reset-user at server.ts:1195 + GET /api/admin/users at server.ts:1439) — drive-by-gated in Phase B PR. This ticket is the broader sweep: are there other quietly-public admin endpoints?,Security baseline. Two known holes were live for an unknown duration; need to confirm no others.,Both,P0,Done (in production),XS,1,I-011,Phase C SHIPPED 2026-05-19. Sweep complete; all /api/admin/* routes now gated by requireAdminAuth. Audit comment block lives in server.ts above the admin section listing each route + its auth status.,2026-05-19
,I-019,"Standalone admin login at /admin/login (password, not Google OAuth)",Infra/CMS,"Decouple /admin from website auth. New route /admin/login: email + password form. Server validates against env var ADMIN_PASSWORD_HASH (bcrypt). On success, set HttpOnly secure cookie (admin_session). Middleware requireAdminAuth checks cookie on all /admin/* routes + /api/admin/* endpoints. Existing /admin redirects to /admin/login if missing/expired. Logout button + endpoint /api/admin/logout clears cookie.","Today /admin requires owner to first sign in to website via Google THEN navigate to /admin. Clunky + tightly couples admin access to public OAuth. Standalone login = direct access, separate failure modes, easier to harden.",Both,P1,Done (in production),M,1,"I-017, I-018","Phase C SHIPPED 2026-05-19. bcryptjs added. 12h HttpOnly cookie, rate limit 5 attempts/15min/IP. scripts/hash-admin-password.ts helper for generating new hashes. Railway env var ADMIN_PASSWORD_HASH must be set before deploy.",2026-05-19
,I-020,Users deep-dive page at /admin/users,Infra/CMS,"New page /admin/users — lifetime user table. Columns: email, signup date, last login, tier (free/paid/unlimited), total activity count (sum of activityLog entries for that user). Sortable per column. Filterable by: signup year/month, tier, last-seen window (24h / 7d / 30d / 90d / never). Click row → drawer (or modal) showing that user's full activity history filtered from activityLog. Replaces the current 'Free users / Paid users' tile expand-on-click behavior — moves user investigation to a dedicated surface.","Owner feedback 2026-05-18: current dashboard only shows recent users; need to see EVERYONE who signed up (including dormant accounts), separated by signup period, with full per-user history. Most useful surface for understanding 'is the user base growing? are old users coming back?'",Both,P1,Done (in production),M,1,"I-016, I-019",Phase C SHIPPED 2026-05-19. /api/admin/users-detail returns full user list + per-email history endpoint. Sort/filter/drawer all working per mockup Surface 3.,2026-05-19
,I-021,Reorganize /admin into KPI-driven layout (funnels + activation + newsletter + retention + cost) + signup source attribution,Infra/CMS,Mockup IS the spec: E:/Business/Claude/_Mockups/Website/WEBSITE-PLAN-admin-v2-mockup.html (Surface 2). Restructure /admin into 9 sections: (1) At-a-glance row — 6 tiles each with delta line; (2) AI Studio Funnels — 4-row table with cobalt bars; (3) Activation — 3 stat cards including Top sign-up trigger card (wired in c-followup with sessionStorage source stamp before OAuth); (4) Newsletter signups — stat card + recent 5 emails table; reads Google Sheet; 'source' field added to /api/newsletter/subscribe; (5) Retention — D1/D7/D30 + DAU/WAU/MAU; (6) Cost & API health — per-provider bars with green/amber/red; CALL_COSTS map inline; (7) Acquisition placeholder — dashed card 'Awaiting I-007 (GA4)'; (8) Platforms — existing cards + Cost/yr line + annual_cost field in platforms.json; (9) Shopping incident — kept. Drop standalone Recent Activity (moves to /admin/users drawer per I-020). Also remove Replicate from platforms.json. apiCounters extended with history[] for sparklines.,Owner feedback 2026-05-18: current /admin is 'too weak to investigate anything' — flat list of tiles + activity log without structure. Real KPI dashboard should answer specific questions: 'Are users finishing the quiz? Are we leaking visitors? What's our calendly conversion?',Both,P1,Done (in production),L,1,"I-016, I-019, I-020","Phase C SHIPPED 2026-05-19. Includes c-followup commit 7531f41 (signup source attribution): 5 off-page CTAs use sessionStorage stamp before navigateTo (header_cta, header_nav, home_ai_section, closing_band, pricing_cta); 4 tool sign-in CTAs auto-derive source from activeTool (quiz/vision/shopping/audit_signin). See project_observability_layer.md for the full wiring map.",2026-05-19
,I-022,Analytics — fire GA4 page_view events on SPA route changes,Infrastructure,"DONE (in production) 2026-05-25. PR #27, squash commit 43cb74a. Added trackPageView(path, title) helper in src/lib/analytics.ts; initGA() now exposes the local gtag fn as window.gtag so callers can find it. New src/components/RouteTracker.tsx mounted as first child of <BrowserRouter> uses useLocation + useEffect, skips initial mount via useRef (gtag.js auto-fires the landing page_view itself), fires trackPageView on every pathname/search change. Same env-gate as I-007: when VITE_GA4_MEASUREMENT_ID unset, trackPageView early-returns → localhost silent. Vitest: +6 cases (2 trackPageView in analytics.test.ts, 4 in new RouteTracker.test.tsx). Out of scope (logged as separate tickets): I-023 custom events (calendly_open / signup / ai_generate / quota_burned / newsletter_signup) and S-025 per-page document.title.","Without SPA page_view wiring, every GA4 metric that depends on path-level data was wrong — bounce rate inflated, time-on-page meaningless, funnel attribution impossible. Top Pages report only ever showed /. Now accurate.",Both,P1,Done (in production),S,1,I-007,Verified end-to-end on localhost (stubbed window.gtag → navigated 5 routes → exactly 5 page_view calls with correct GA4 shape; initial-mount skip working). State 1 also re-verified (no env var = silent across all nav).,2026-05-25
,I-023,"GA4 custom events — calendly_open, signup, ai_generate, quota_burned, newsletter_signup",Infrastructure,"I-007 wired gtag.js for page_view only. I-022 added SPA page_view per route. The five high-intent user actions still aren't measurable in GA4: (1) calendly_open — fired today from src/lib/track.ts trackCalendly() which only POSTs to /api/track/calendly internal log, not to GA4; (2) signup — fires today via internal /api/track endpoints but not GA4; (3) ai_generate — when user generates an AI Vision concept (consumes a quota); (4) quota_burned — when free user hits 0 remaining concepts (key conversion signal); (5) newsletter_signup — from the offline-Shopping card and footer. For each, add a gtag('event', '<name>', { ...params }) call alongside the existing internal tracker so both systems see the same events. Suggested params: calendly_open { source }, signup { method: 'google' }, ai_generate { tool, style }, quota_burned { tool }, newsletter_signup { source }. Tiny per-event diff. After ship: GA4 conversions report becomes usable; can build funnels in GA4 Explore.",Without custom events GA4 is page-view-only — usable for SEO/traffic but blind to the actual product funnel (visit → quiz → vision generate → quota hit → calendly call). Quota_burned in particular is the most important conversion signal we have for the Free → Paid story; not capturing it is a gap.,Both,P1,Done (in production),S,1,"I-007, I-022","SHIPPED 2026-05-29 in one combined PR with A-004 + A-005 (PR #30, squash b62b779). All 5 events wired via trackEvent() helper in src/lib/analytics.ts alongside existing internal /api/track/* calls (untouched): calendly_open {source} at 7 CTA sites (counted under A-005), signup {source} (added isNewUser field to /api/auth/google response so client knows to fire), ai_generate covered by the 8 ai_* events under A-004, newsletter_signup {source} (Footer + ShoppingOfflineCard + ShoppingListShowcase success handlers), quota_burned {tool} fires when a generate response leaves the user at 0 remaining. 13-event registry doc-comment at top of analytics.ts. New analytics.test.ts cases. Same env-gate as I-007/I-022 → silent on localhost.",2026-05-29
,AI-004,[Dropped] Room Audit free-tier extension,AI Studio,"DROPPED 2026-05-04. Owner clarified: Room Audit stays Design+ (paid only). No free-tier access. Tier matrix updated accordingly — Free row for Room Audit shows ✗, Design tier 3/mo, Studio tier 300/mo cap.","Owner decision: Room Audit is part of the paid product, not a free funnel. Other tools (Quiz, Vision, Shopping) carry the free-funnel role.",Option 3,P1,Dropped,M,1,,Dropped 2026-05-04 during AI section v3.1 review for the home page mockup. Home-page tool card for Room Audit now displays 'Design+ tier · 3 audits/mo'.,2026-06-16
,B-001,Brand assets — logo system + cover thumbnails (cobalt-branded),Visual/Feel,"Done 2026-05-05. Created the Designature Studio brand assets folder at E:\Business\Claude\Brand\ as a reusable brand source-of-truth (sibling to Website, Portfolio, etc.). Includes: BRAND.md (full brand system spec — colors, type, logo rules, voice); logo system in 3 SVG variants (mark / wordmark / combined); 4 deliverable cover thumbnails (Design Concept, Technical Drawings, Shopping List, Installation Guides) — each 4:3 SVG ready for upload to Cloudinary. Migration from old 'neon yellow' brand color to cobalt #0047AB (the dot inside the existing logo) — informally already on the website, now formalized.","Foundation for S-014 (deliverables page) and any future brand-touched surface. Without a formal brand system, every new asset re-litigates the colors/type/logo decisions. With it, decisions are reusable.",Both,P0,Done,M,1,,"Created 2026-05-05 to support S-014. Files: E:\Business\Claude\Brand\BRAND.md + logos/{mark,wordmark,combined}.svg + deliverable-covers/{design-concept,technical-drawings,shopping-list,installation-guides}-cover.svg. Pairs with B-002 (PDF interior rebrand — deferred).",2026-06-16
,B-004,Logo revision — refine the studio mark + wordmark,Visual/Feel,"DIRECTION PICKED 2026-05-24 — implementation rolled into B-005. New logo: oxide-rust (#8E3F2D) mark + wordmark with explicit 'STUDIO' subtitle, source files at E:\Business\Claude\_Brand\Logo\ (designature-{horizontal,stacked,mark,wordmark,favicon}-oxide-rust + reversed variants). Replaces the old outlined-square + cobalt-dot + DESIGNATURE wordmark. Cobalt remains the brand color anchor for buttons/CTAs only; oxide-rust is the new logo + accent color.","Logo is the most-repeated brand surface — every page header, every PDF cover, favicon, social avatar. Owner wanting to revise signals something isn't landing. Worth getting right before more brand assets compound on it (e.g., before B-002 PDF rebrand uses the current mark across all interior pages).",Both,P1,Done (direction picked · impl in B-005),M,1,B-001,Logged 2026-05-08. Resolved 2026-05-24: owner provided oxide-rust SVG set in _Brand\Logo\ and the full rebrand scope was packaged into B-005 (logo + tagline + under-H1 line + active-nav/filter underline + AI Studio 2-col cards + equal-height pricing). B-004 closed as a planning ticket.,2026-05-24
